x LHS_beta=90.000 LHS_beta=900.000 LHS_beta=9000.000 LHS_beta=90000.000 LHS_beta=900000.000 LHS_beta=9000000.000 RHS_beta=90.000 RHS_beta=900.000 RHS_beta=9000.000 RHS_beta=90000.000 RHS_beta=900000.000 RHS_beta=9000000.000
9.833677094535281301e-06 8.117831367484448242e+11 8.117778909998586914e+12 8.112537266636062500e+13 7.626410565841706250e+14 1.833948328858762000e+15 1.834474150936635500e+15 2.199916649624192505e+05 2.199859786609011292e+08 2.194182935990750732e+11 1.709549389831447812e+14 2.848710730356778906e+13 0.000000000000000000e+00
9.812732095398890835e-06 8.272750484918875732e+11 8.272697253825799805e+12 8.267378292570284375e+13 7.773928648725037500e+14 1.872926039474396000e+15 1.873473257257024500e+15 2.199850771509251790e+05 2.199794152155644596e+08 2.194141587206948242e+11 1.711272367431562500e+14 2.908997022220948047e+13 0.000000000000000000e+00
9.791787096262500369e-06 8.427612070687646484e+11 8.427558074381690430e+12 8.422162633538489062e+13 7.921463648868195000e+14 1.912056864933036750e+15 1.912626147983392250e+15 2.199750504843423842e+05 2.199694129502356946e+08 2.194065885690630493e+11 1.712967010189559375e+14 2.970525608783999219e+13 0.000000000000000000e+00
9.770842097126109904e-06 8.582392077780491943e+11 8.582337324777427734e+12 8.576866254796307812e+13 8.068992741198082500e+14 1.951336307850117000e+15 1.951928342973686000e+15 2.199615637888248020e+05 2.199559506904838681e+08 2.193955619113167114e+11 1.714633058921508750e+14 3.033321111298332422e+13 0.000000000000000000e+00
9.749897097989719438e-06 8.737066227267442627e+11 8.737010726203342773e+12 8.731464889565295312e+13 8.216492859287782500e+14 1.990759779133671000e+15 1.991375270728644750e+15 2.199445960364041966e+05 2.199390074077475369e+08 2.193810576596493530e+11 1.716270255030890312e+14 3.097408612211094922e+13 0.000000000000000000e+00
9.728952098853328972e-06 8.891610013309678955e+11 8.891553772939742188e+12 8.885934044038812500e+13 8.363940699883220000e+14 2.030322598141134000e+15 2.030962268552953500e+15 2.199241263497955806e+05 2.199185622241407037e+08 2.193630548761176147e+11 1.717878340555298750e+14 3.162813663120441016e+13 0.000000000000000000e+00
9.708007099716938507e-06 9.045998708347878418e+11 9.045941737545185547e+12 9.040249002565385938e+13 8.511312727605610000e+14 2.070019992878890750e+15 2.070684582759108750e+15 2.199001340072285966e+05 2.198945944172836542e+08 2.193415327774729614e+11 1.719457058213584688e+14 3.229562292856789062e+13 0.000000000000000000e+00
9.687062100580548041e-06 9.200207368468134766e+11 9.200149676222375000e+12 9.194384833009646875e+13 8.658585179830050000e+14 2.109847100245248000e+15 2.110537368914668500e+15 2.198725984473018034e+05 2.198670834251576364e+08 2.193164707400177612e+11 1.721006151453423125e+14 3.297681015677517969e+13 0.000000000000000000e+00
9.666117101444157575e-06 9.354210838945538330e+11 9.354152434361673828e+12 9.348316392290918750e+13 8.805734071740586250e+14 2.149798966317509000e+15 2.150515692133558750e+15 2.198414992738593428e+05 2.198360088509813249e+08 2.192878483044827271e+11 1.722525364499292812e+14 3.367196839598030859e+13 0.000000000000000000e+00
9.645172102307767109e-06 9.507983759965385742e+11 9.507924652262265625e+12 9.502018332099448438e+13 8.952735201561993750e+14 2.189870546683817000e+15 2.190614527412101500e+15 2.198068162608887942e+05 2.198013504681086838e+08 2.192556451809268494e+11 1.724014442400870625e+14 3.438137274838100391e+13 0.000000000000000000e+00
9.624227103171376644e-06 9.661500572521778564e+11 9.661440771030718750e+12 9.655465104789987500e+13 9.099564155968261250e+14 2.230056706820399250e+15 2.230828760010387750e+15 2.197685293574392272e+05 2.197630882249474227e+08 2.192198412536568909e+11 1.725473131081815625e+14 3.510530342404162500e+13 0.000000000000000000e+00
9.603282104034986178e-06 9.814735524493253174e+11 9.814675038656544922e+12 9.808630969452459375e+13 9.246196315667768750e+14 2.270352222514824500e+15 2.271153185879609500e+15 2.197266186925567454e+05 2.197212022498937249e+08 2.191804165861650696e+11 1.726901177388941250e+14 3.584404582794146094e+13 0.000000000000000000e+00
9.582337104898595712e-06 9.967662676895085449e+11 9.967601516264474609e+12 9.961489998159275000e+13 9.392606861164990000e+14 2.310751780335899000e+15 2.311582512135965500e+15 2.196810645802377840e+05 2.196756728562867939e+08 2.191373514260845947e+11 1.728298329141763750e+14 3.659789064838248438e+13 0.000000000000000000e+00
9.561392105762205247e-06 1.012025591030751587e+12 1.012019408454262305e+13 1.011401608238859062e+14 9.538770778698321250e+14 2.351249978150748000e+15 2.352111357581685000e+15 2.196318475243977737e+05 2.196264805473762751e+08 2.190906262101606750e+11 1.729664335182408750e+14 3.736713394666578125e+13 0.000000000000000000e+00
