x	denom	arg(denom)
 (0.034965+0.000000j)	 (1.999694-0.000000j)	 (-0.000000+0.000000j)
 (-0.873417+0.000000j)	 (1.799206+0.000003j)	 (0.000002+0.000000j)
 (-0.034965+0.000000j)	 (1.999694+0.000000j)	 (0.000000+0.000000j)
 (0.771111+0.000000j)	 (1.845369-0.000003j)	 (-0.000002+0.000000j)
 (0.069081+0.000000j)	 (1.998807-0.000000j)	 (-0.000000+0.000000j)
 (-0.771111+0.000000j)	 (1.845369+0.000003j)	 (0.000002+0.000000j)
 (-0.069081+0.000000j)	 (1.998807+0.000000j)	 (0.000000+0.000000j)
 (0.657061+0.000000j)	 (1.888987-0.000002j)	 (-0.000001+0.000000j)
 (0.115422+0.000000j)	 (1.996667-0.000000j)	 (-0.000000+0.000000j)
 (-0.657061+0.000000j)	 (1.888987+0.000002j)	 (0.000001+0.000000j)
 (-0.115422+0.000000j)	 (1.996667+0.000000j)	 (0.000000+0.000000j)
 (0.541928+0.000000j)	 (1.925179-0.000002j)	 (-0.000001+0.000000j)
 (0.174452+0.000000j)	 (1.992377-0.000001j)	 (-0.000000+0.000000j)
 (-0.541928+0.000000j)	 (1.925179+0.000002j)	 (0.000001+0.000000j)
 (-0.174452+0.000000j)	 (1.992377+0.000001j)	 (0.000000+0.000000j)
 (0.432554+0.000000j)	 (1.952664-0.000002j)	 (-0.000001+0.000000j)
 (0.246966+0.000000j)	 (1.984693-0.000001j)	 (-0.000000+0.000000j)
 (-0.432554+0.000000j)	 (1.952664+0.000002j)	 (0.000001+0.000000j)
 (-0.246966+0.000000j)	 (1.984693+0.000001j)	 (0.000000+0.000000j)
 (0.600000+0.000000j)	 (1.907878-0.000002j)	 (-0.000001+0.000000j)
 (-0.600000+0.000000j)	 (1.907878+0.000002j)	 (0.000001+0.000000j)
 (0.995737+0.000000j)	 (1.734505-0.000004j)	 (-0.000002+0.000000j)
 (0.335235+0.000000j)	 (1.971704-0.000001j)	 (-0.000001+0.000000j)
 (-0.995737+0.000000j)	 (1.734505+0.000004j)	 (0.000002+0.000000j)
 (-0.335235+0.000000j)	 (1.971704+0.000001j)	 (0.000001+0.000000j)
 (0.974874+0.000000j)	 (1.746317-0.000004j)	 (-0.000002+0.000000j)
