x	Re(denom)	Im(denom)	arg(denom)
0.934640	1.828784	-0.212483	-0.115669
-0.364055	2.011463	0.075248	0.037392
0.364055	2.011463	-0.075248	-0.037392
0.878610	1.854641	-0.196960	-0.105802
-0.934640	1.828784	0.212483	0.115669
-0.364055	2.011463	0.075248	0.037392
0.393357	2.006183	-0.081519	-0.040611
0.878610	1.854641	-0.196960	-0.105802
-0.878610	1.854641	0.196960	0.105802
0.393357	2.006183	-0.081519	-0.040611
-0.393357	2.006183	0.081519	0.040611
-0.878610	1.854641	0.196960	0.105802
0.812451	1.882808	-0.179404	-0.094999
-0.393357	2.006183	0.081519	0.040611
0.432129	1.998550	-0.089896	-0.044950
0.812451	1.882808	-0.179404	-0.094999
-0.812451	1.882808	0.179404	0.094999
-0.432129	1.998550	0.089896	0.044950

0.741343	1.910314	-0.161345	-0.084260
0.479880	1.988125	-0.100353	-0.050433
-0.432129	1.998550	0.089896	0.044950
-0.741343	1.910314	0.161345	0.084260
0.741343	1.910314	-0.161345	-0.084260
-0.479880	1.988125	0.100353	0.050433
0.479880	1.988125	-0.100353	-0.050433
0.669374	1.935322	-0.143800	-0.074166
-0.741343	1.910314	0.161345	0.084260
-0.479880	1.988125	0.100353	0.050433

0.669374	1.935322	-0.143800	-0.074166
-0.669374	1.935322	0.143800	0.074166
0.536162	1.974369	-0.112904	-0.057123
-0.536162	1.974369	0.112904	0.057123
-0.669374	1.935322	0.143800	0.074166
0.142857	2.037964	-0.029144	-0.014300
-0.536162	1.974369	0.112904	0.057123
-0.142857	2.037964	0.029144	0.014300
0.142857	2.037964	-0.029144	-0.014300
-0.142857	2.037964	0.029144	0.014300
0.001069	2.042757	-0.000218	-0.000107
-0.331437	2.016847	0.068323	0.033863

-0.001069	2.042757	0.000218	0.000107

0.322119	2.018291	-0.066355	-0.032865
-0.331437	2.016847	0.068323	0.033863
0.006402	2.042747	-0.001303	-0.000638
-0.001069	2.042757	0.000218	0.000107
0.322119	2.018291	-0.066355	-0.032865
-0.322119	2.018291	0.066355	0.032865
0.006402	2.042747	-0.001303	-0.000638
-0.006402	2.042747	0.001303	0.000638
-0.322119	2.018291	0.066355	0.032865
0.303965	2.020983	-0.062532	-0.030932
0.017182	2.042688	-0.003497	-0.001712
-0.006402	2.042747	0.001303	0.000638
-0.303965	2.020983	0.062532	0.030932
0.303965	2.020983	-0.062532	-0.030932
-0.017182	2.042688	0.003497	0.001712
0.017182	2.042688	-0.003497	-0.001712
-0.303965	2.020983	0.062532	0.030932

0.033387	2.042495	-0.006796	-0.003327
-0.017182	2.042688	0.003497	0.001712
-0.278268	2.024522	0.057146	0.028219
0.278268	2.024522	-0.057146	-0.028219
-0.033387	2.042495	0.006796	0.003327

-0.278268	2.024522	0.057146	0.028219

0.054562	2.042058	-0.011109	-0.005440
-0.247289	2.028367	0.050687	0.024984
0.247289	2.028367	-0.050687	-0.024984
0.054562	2.042058	-0.011109	-0.005440
0.213196	2.032069	-0.043620	-0.021462
-0.247289	2.028367	0.050687	0.024984
0.080228	2.041246	-0.016341	-0.008005
-0.054562	2.042058	0.011109	0.005440
0.213196	2.032069	-0.043620	-0.021462
-0.213196	2.032069	0.043620	0.021462
0.080228	2.041246	-0.016341	-0.008005
0.177819	2.035327	-0.036323	-0.017845
-0.213196	2.032069	0.043620	0.021462
0.109911	2.039921	-0.022401	-0.010981
-0.080228	2.041246	0.016341	0.008005
-0.177819	2.035327	0.036323	0.017845
0.177819	2.035327	-0.036323	-0.017845
-0.109911	2.039921	0.022401	0.010981
0.109911	2.039921	-0.022401	-0.010981
2.200000	0.800016	-1.143315	-0.960249
-2.200000	0.800016	1.143315	0.960249
2.200000	0.800016	-1.143315	-0.960249
-2.200000	0.800016	1.143315	0.960249

-2.991474	0.551788	2.254003	1.330714
2.991474	0.551788	-2.254003	-1.330714
-1.670470	1.292687	0.537263	0.393897
1.670470	1.292687	-0.537263	-0.393897
2.949747	0.557507	-2.199765	-1.322583
-2.991474	0.551788	2.254003	1.330714
1.689479	1.273810	-0.551430	-0.408541
-1.670470	1.292687	0.537263	0.393897
2.949747	0.557507	-2.199765	-1.322583
-2.949747	0.557507	2.199765	1.322583
-1.689479	1.273810	0.551430	0.408541

2.869281	0.569712	-2.093917	-1.305147
-2.949747	0.557507	2.199765	1.322583
1.728111	1.234905	-0.581808	-0.440291
-1.689479	1.273810	0.551430	0.408541
2.869281	0.569712	-2.093917	-1.305147
-2.869281	0.569712	2.093917	1.305147
1.728111	1.234905	-0.581808	-0.440291
-1.728111	1.234905	0.581808	0.440291
2.757219	0.589824	-1.943526	-1.276149
-2.869281	0.569712	2.093917	1.305147
1.786713	1.174859	-0.632282	-0.493721
2.757219	0.589824	-1.943526	-1.276149
-2.757219	0.589824	1.943526	1.276149
1.786713	1.174859	-0.632282	-0.493721
-1.786713	1.174859	0.632282	0.493721
-2.757219	0.589824	1.943526	1.276149
2.624902	0.619704	-1.761047	-1.232434
-1.786713	1.174859	0.632282	0.493721
1.864259	1.094808	-0.707962	-0.574019
-2.624902	0.619704	1.761047	1.232434

-1.864259	1.094808	0.707962	0.574019
1.864259	1.094808	-0.707962	-0.574019
-2.624902	0.619704	1.761047	1.232434
2.482686	0.662234	-1.558663	-1.169033
-1.864259	1.094808	0.707962	0.574019

2.482686	0.662234	-1.558663	-1.169033
-1.959759	0.998822	0.815749	0.684848

-2.482686	0.662234	1.558663	1.169033
2.338748	0.721316	-1.348030	-1.079473
2.072323	0.896046	-0.961544	-0.820643
-2.338748	0.721316	1.348030	1.079473

2.072323	0.896046	-0.961544	-0.820643
-2.072323	0.896046	0.961544	0.820643
